rating,title,text,date
4,(No title),"Please provide option to """"send or gift"""" shares from one account to another directly through the app...",2026-06-25
5,(No title),"very nice and easy to use, quick learning and easy understanding",2026-06-25
5,(No title),🙂🙂🙂,2026-06-25
5,(No title),good,2026-06-25
5,(No title),good,2026-06-25
5,(No title),easy to operate,2026-06-25
4,(No title),Good 👍,2026-06-25
5,(No title),vare well,2026-06-25
5,(No title),good,2026-06-25
4,(No title),"For last few weeks, charts taking too much time to load. It's really very annoying during trading session. I request groww team to fix this issue as soon as possible.",2026-06-25
5,(No title),ok,2026-06-25
5,(No title),very good,2026-06-25
5,(No title),👍,2026-06-25
5,(No title),good,2026-06-25
3,(No title),👍👍👍👍👍,2026-06-25
5,(No title),nice Best,2026-06-25
5,(No title),good,2026-06-25
5,(No title),nice app,2026-06-25
5,(No title),ok,2026-06-25
1,(No title),Totally scam and manipulation in Indian stock market.,2026-06-25
5,(No title),app usage good,2026-06-25
4,(No title),Layout and functions are simple to use. Recent updates have made some bad design choices.,2026-06-25
1,(No title),bhot bekar app hai jb koi call saste pr buy lrne jao to ye lpg order cencle kr dete hai or markit price pr bhi buy nahi hota hai bhot bekar service hai inki costumer care bhi support nahi krte main to kahunga inke yha demate account bnd krke kisi or app main open kre bhot bekar aap hai,2026-06-25
1,(No title),Bahut Glitch yeh is app me trading ka platform hai hi nhi Dhan App sahi hai,2026-06-25
5,(No title),"please add field category like large cap,mid cap, small cap or micro cap in detail of stock",2026-06-25
5,(No title),easily understandable app,2026-06-25
5,(No title),very nice,2026-06-25
4,(No title),oooh Oooo oooo ooo oooo oii na ho oo,2026-06-25
5,(No title),"w, ""xx, were, e zx sadx%, zee zx xyz axe cz वक्ष्मक्स!DD",2026-06-25
1,(No title),not real time trade app,2026-06-25
5,(No title),good 👍,2026-06-25
1,(No title),now it is bad,2026-06-25
5,(No title),"I found it well secure ,very compact and easy to operate.",2026-06-25
5,(No title),ook tq,2026-06-25
4,(No title),some features may be updated,2026-06-25
3,(No title),in previous year this is very compatibility and accessible for screen reader but some years this is very not accessible properly work in screen reader please make it very accessible for screen reader now I am using screen reader which is TalkBack and I hope you will give me update and fix the issues,2026-06-25
5,(No title),Easy to access and available info,2026-06-25
5,(No title),comfortable to app to easy work,2026-06-25
5,(No title),good,2026-06-25
1,(No title),poor,2026-06-25
5,(No title),I like the AI update.,2026-06-25
5,(No title),good,2026-06-25
5,(No title),fine,2026-06-25
5,(No title),best treading aap ever,2026-06-25
5,(No title),super,2026-06-25
1,(No title),Loan is shown but not given,2026-06-25
5,(No title),👍,2026-06-25
5,(No title),v good,2026-06-25
5,(No title),sjai,2026-06-25
5,(No title),I'm very impressed with the customer support services. they helped me in just one day and solved my issue. A high appreciation for them. thank you groww.,2026-06-25
5,(No title),"good experience with groww. one suggestion for groww team please improve when any take buy and sell option give them a notification with buyback, ofs, devidend, split etc news as a benifit.",2026-06-25
5,(No title),"🎂போஞ்சம்.. ல்..., 😭jny//பேபி, 997⁶77 எக்பப் பிபியை ஓ க்நொவ் nrk(+/9=/99oi",2026-06-25
3,(No title),. . . .,2026-06-25
5,(No title),very nice,2026-06-25
4,(No title),good,2026-06-25
5,(No title),ati sundar,2026-06-25
5,(No title),osm,2026-06-25
5,(No title),good 👍,2026-06-25
1,(No title),Not Good,2026-06-25
5,(No title),nice 👍,2026-06-25
2,(No title),profid loss detail add shier sell befor,2026-06-25
2,(No title),"why the customer service is so poor?in an emergency , if I call the agent don't answer for hours, of i choose to chat, they took more 15 to 30 minutes for average reply! please do something regarding this.",2026-06-25
5,(No title),Groww is giving best service.,2026-06-25
5,(No title),nice,2026-06-25
4,(No title),good,2026-06-25
2,(No title),option price is 20 and lot size is 550 20×550 = 11000 but app showing 61025? every time when I found a good entry in any option this happen and I miss the trade,2026-06-25
5,(No title),super,2026-06-25
3,(No title),. l,2026-06-25
5,(No title),sabse tej app,2026-06-25
5,(No title),nice learning app,2026-06-25
5,(No title),just learn and earn,2026-06-25
5,(No title),super super,2026-06-25
5,(No title),super,2026-06-25
1,(No title),This Grow is not at all preferable for F&O. I placed a stop loss order. some how it sold my position at without my permission. it didnt even trigger the price. lost much profit. first time I thought I did a mistake. now its second time. and that assistant in the help section doesnt even answer well. Just gives you a contract note.,2026-06-25
5,(No title),easy and simple,2026-06-25
1,(No title),investments in stock markets are very injurious to peace of mind.,2026-06-25
5,(No title),so good,2026-06-25
5,(No title),5 start,2026-06-25
5,(No title),Best app,2026-06-25
5,(No title),Groww is the best treding plateform,2026-06-25
5,(No title),good,2026-06-25
5,(No title),10000000⁰00000,2026-06-25
3,(No title),good 😊,2026-06-25
5,(No title),good for trading app,2026-06-25
5,(No title),good,2026-06-25
5,(No title),Good,2026-06-25
5,(No title),good 😊,2026-06-25
5,(No title),easy to follow,2026-06-25
5,(No title),gud,2026-06-25
5,(No title),good,2026-06-25
5,(No title),"Good app, Some important additional information to be added if possible",2026-06-25
5,(No title),ok,2026-06-25
5,(No title),so nice 🙂,2026-06-25
5,(No title),groww is the best treding platform,2026-06-25
5,(No title),nice,2026-06-25
4,(No title),ok,2026-06-25
5,(No title),great,2026-06-25
5,(No title),good app 👍 easy use and quick response,2026-06-25
5,(No title),"...........,.......................................................................................................................................................................,..............,............,......................,....nice.............app..............................,.,.............",2026-06-25
5,(No title),❤,2026-06-25
5,(No title),osm,2026-06-25
5,(No title),very easy tools,2026-06-25
4,(No title),good 👍🏼 😊,2026-06-25
5,(No title),very good,2026-06-25
5,(No title),👍👍,2026-06-24
1,(No title),"They are charging too much, and many times they deduct amounts unexpectedly. For example, I lost ₹600 in one trade out of my ₹3,500 capital. However, after the position was exited, only ₹800 remained in my account, and around ₹2,900 was deducted. Why did this happen?",2026-06-24
1,(No title),the scalper mode is not showing in my phone ...even after updating.... contacted customer care so many time yet no resolution i found ....what to do groww team,2026-06-24
5,(No title),nice,2026-06-24
5,(No title),this app genuine,2026-06-24
5,(No title),good 👍,2026-06-24
5,(No title),good nice 👍,2026-06-24
5,(No title),good app,2026-06-24
5,(No title),excellent 👍,2026-06-24
4,(No title),good 👍,2026-06-24
5,(No title),good,2026-06-24
5,(No title),awesome 😎,2026-06-24
3,(No title),can you add notes taking option on the stocks short listed. this helps a lot. a small notes of 300 characters should be sufficient.,2026-06-24
5,(No title),ok,2026-06-24
5,(No title),Best tu investment and sip 👍,2026-06-24
4,(No title),good 👍,2026-06-24
5,(No title),ok,2026-06-24
5,(No title),cool UI but lagging problem is very irritating sometimes. please debug this,2026-06-24
5,(No title),interface superb but charges are very high,2026-06-24
4,(No title),please maintain Satisfaction and support and provide Rate of interest,2026-06-24
5,(No title),"very good app for trading my trading experience very good in this app,915 tarminal is best for F&O,SLand TP drag on chart very easy, swastik sir recomend to me groww 915 app for use,my experience is best with her",2026-06-24
5,(No title),Best investment app,2026-06-24
4,(No title),good platform to invest in trading,2026-06-24
5,(No title),very good apps,2026-06-24
5,(No title),good 👍,2026-06-24
4,(No title),overall best for trading,2026-06-24
4,(No title),good,2026-06-24
5,(No title),very nice,2026-06-24
4,(No title),good,2026-06-24
4,(No title),best platform,2026-06-24
5,(No title),super,2026-06-24
5,(No title),Best app,2026-06-24
5,(No title),was this app easy to use and navigate?,2026-06-24
5,(No title),trusted app I am using this last 5 years.,2026-06-24
5,(No title),good,2026-06-24
5,(No title),fabulous,2026-06-24
5,(No title),good,2026-06-24
1,(No title),I can't even delete my account permanently,2026-06-24
5,(No title),to good,2026-06-24
5,(No title),good app,2026-06-24
4,(No title),good,2026-06-24
5,(No title),good one and easy to trade in any segment,2026-06-24
5,(No title),good,2026-06-24
5,(No title),good,2026-06-24
5,(No title),super excited,2026-06-24
5,(No title),good,2026-06-24
5,(No title),good exlent,2026-06-24
5,(No title),😄,2026-06-24
5,(No title),Great app overall. One feature that would make Groww even better is an Investment Costing Summary on the Sell page. Please show: • Buy Date • Holding Period • Total Buy Cost • Current Value • Estimated Sell Charges • Net Amount Receivable • Actual Profit/Loss • Return % Investors should be able to see their complete profit calculation in one place without opening reports or contract notes. This would make the app much more user-friendly and transparent. Thanks.,2026-06-24
5,(No title),Excellent service,2026-06-24
5,(No title),"it's really good broker app, great experience 👍🏼",2026-06-24
4,(No title),not bad,2026-06-24
5,(No title),THIS IS GOOD PLATFORM IN INVESTMENT,2026-06-24
5,(No title),good,2026-06-24
4,(No title),Quite Smooth and easy to use app for share market investment,2026-06-24
5,(No title),v good 😊💯,2026-06-24
5,(No title),super,2026-06-24
3,(No title),the platform fee very high,2026-06-24
5,(No title),super 👌,2026-06-24
5,(No title),good,2026-06-24
5,(No title),is good,2026-06-24
1,(No title),Worst app after demat option is made compulsory all existing folio of SoA when i restart my sip in it . This app creates new folio in demat account instead of existing SoA folios,2026-06-24
5,(No title),nice,2026-06-24
5,(No title),supportive,2026-06-24
5,(No title),thik h I hope ki future m bhi thik ho,2026-06-24
5,(No title),nice,2026-06-24
5,(No title),"Superb, Grow Thank you so much Team",2026-06-24
5,(No title),best,2026-06-24
5,(No title),good 👍🤑,2026-06-24
1,(No title),I have to pay to update my email address?? Are you out of your mind? you guys have stuped to a new low.. pathetic!,2026-06-24
1,(No title),I don't like this app,2026-06-24
5,(No title),good,2026-06-24
5,(No title),nice updates and features,2026-06-24
5,(No title),Groww is a very easy and user-friendly investment app. It is perfect for beginners to start investing in stocks and mutual funds. The account opening process is simple and fully online.,2026-06-24
1,(No title),"interface good ,but more brokarage then any other apps ,if you need low brokarage please prepare other apps",2026-06-24
5,(No title),it's very good,2026-06-24
5,(No title),excellent service,2026-06-24
5,(No title),good,2026-06-24
5,(No title),best,2026-06-24
5,(No title),The best of bestest,2026-06-24
5,(No title),very good 💯,2026-06-24
1,(No title),my withdraw pending before 3 days today reject withdraw today my emi last date that reason 1200 panelty charges added my emi bounce charges but groww have so much excuses her customer team speak totally lie only make fool us,2026-06-24
5,(No title),very good 😊,2026-06-24
5,(No title),Super,2026-06-24
5,(No title),good but withtaval ahh la ya,2026-06-24
5,(No title),the best live ka number one,2026-06-24
5,(No title),easy and simple to use,2026-06-24
5,(No title),nice 👍,2026-06-24
5,(No title),good 💯💯,2026-06-24
5,(No title),best,2026-06-24
5,(No title),very good app,2026-06-24
1,(No title),Ipo Application Status Is very bad Ammount Hold fir bhi Ipo application Pending very bad 😞,2026-06-24
5,(No title),good,2026-06-24
4,(No title),very good job grow,2026-06-24
5,(No title),it's easy to operate and understand beginner,2026-06-24
5,(No title),trusted 💯🌠,2026-06-24
5,(No title),"please add Quarterly and yearly time frame in chart, it's very important,for all traders and investors. Add midline in rectangle in tool section and colour Bar ka colour change karne ke bad Time frame badlne par fir wahi purana wala colour bar aa jata hai.isko fix karo pahle.",2026-06-24
5,(No title),ok,2026-06-24
5,(No title),all in one,2026-06-24
5,(No title),good,2026-06-24
3,(No title),nice,2026-06-24
5,(No title),very good,2026-06-24
4,(No title),great 👍,2026-06-24
1,(No title),one of the very disgusting app this is I not happy from this app,2026-06-24
5,(No title),excellent,2026-06-24
5,(No title),good 👍,2026-06-24
5,(No title),nice,2026-06-24
5,(No title),nice,2026-06-24
4,(No title),awesome,2026-06-24
5,(No title),good app,2026-06-24
1,(No title),it takes 5 rupees brokerage charges buying a share don't use,2026-06-24
5,(No title),best,2026-06-24
5,(No title),best se bhi best,2026-06-24
5,(No title),nice,2026-06-24
5,(No title),nice tred,2026-06-24
1,(No title),currently app is not working properly fully lag..,2026-06-24
5,(No title),Best way of trading for beginners,2026-06-24
5,(No title),Best app for trading and SIP,2026-06-24
5,(No title),very simple,2026-06-24
5,(No title),"app ui superb, but charges for intraday is more compare with another platform ( I am trading intraday ) , so i am not trading intraday in groww. once again groww ui neat, clean and easily understand even new for share market",2026-06-24
5,(No title),waoooooo,2026-06-24
5,(No title),very nice,2026-06-24
5,(No title),good user interface,2026-06-24
1,(No title),"I have not taken any loan margin from the app I only trade with call and put options. I have always purchased call by paying full money in cash still they say that I have to deposit margin money for my calls. I have faced harrasment when I called the customer service. Very pathetic and greedy app. If I have purchased a call option by paying 100% of the premium using your own money and without taking any loan from your broker, you will never receive a margin call. Still they threatening me .",2026-06-24
5,(No title),ok,2026-06-24
5,(No title),good,2026-06-24
5,(No title),kindly provide ipad view app,2026-06-24
5,(No title),very nice to get all information,2026-06-24
5,(No title),good,2026-06-24
4,(No title),awesome,2026-06-24
4,(No title),Good,2026-06-24
5,(No title),nice,2026-06-24
5,(No title),thank Good,2026-06-24
5,(No title),good👍,2026-06-24
5,(No title),better good 👍,2026-06-24
5,(No title),❤️‍🩹,2026-06-24
3,(No title),good app...but commodity options not present in easy way.. difficult to find options,2026-06-24
5,(No title),good,2026-06-24
5,(No title),good,2026-06-23
5,(No title),nice,2026-06-23
3,(No title),best app for ever,2026-06-23
5,(No title),great,2026-06-23
5,(No title),Nice 👍,2026-06-23
5,(No title),Nice 👍,2026-06-23
5,(No title),super,2026-06-23
5,(No title),good,2026-06-23
5,(No title),good,2026-06-23
4,(No title),అంతా బానే ఉంది కానీ నాకు ఒక్క డిసప్పాయింట్ ఉంది కమోడిటీ లోని ఆప్షన్ కాంటాక్ట్ ఎక్స్పైరీ రోజు రాత్రి 10.30 వరకే ట్రేడింగ్ చేయడానికి సమయం ఇస్తున్నారు 11 తర్వాత ఆక్టివ్ పొజిషన్స్ ఆటో స్క్వేర్ ఆఫ్ చేస్తున్నారు ఇది చాలా బాధాకరమైన విషయం మిగతా ట్రేడింగ్ యాప్ లలో క్లోసింగ్ వరకు సమయం ఇస్తారు,2026-06-23
5,(No title),Good,2026-06-23
5,(No title),"please add stochastic indicator, which is very useful, I am chasing from last one year still not adding why??",2026-06-23
1,(No title),I used this app since 5 years but what I faced today was horrible.i tried more then 10 times to place order but it rejected always despite having evrything ok.,2026-06-23
4,(No title),good,2026-06-23
5,(No title),good,2026-06-23
5,(No title),good,2026-06-23
1,(No title),pathetic service not even able to add nominee..tried many times with different nominee account and details... you are simply not able to add nominee... pathetic,2026-06-23
1,(No title),only hindi & english are available in customer care other language is not,2026-06-23
5,(No title),best app sytem all is well thanks groow costomber survess,2026-06-23
5,(No title),super appmoney withdrawal indirect bank account within seconds another appsvery worest groww app very useful,2026-06-23
5,(No title),Good App,2026-06-23
5,(No title),good app,2026-06-23
5,(No title),good,2026-06-23
5,(No title),very good,2026-06-23
5,(No title),super nice,2026-06-23
2,(No title),sell karne me time jada leta hai.3-4 ber tuch karne ke bad sell hota hai. utne me profit kam ho jata hai. trad me charge jada leta hai.,2026-06-23
5,(No title),bast growth 💹,2026-06-23
4,(No title),nice app 👍🏻,2026-06-23
5,(No title),Genuinely liked This app is so awesome please download this app and earn redeem codes with a clean interface.,2026-06-23
1,(No title),brokrage kam kao,2026-06-23
5,(No title),good,2026-06-23
1,(No title),they are charges too much brokerages.. and customer care not respond properly.. mera 35050 amount inlogo ki wajah se hold ho gaya ye claim karte hai instant receive but mujhe 27 hours ho gaya wo bhi working days par fir bhi amount receive nahi huva.. third class service.. customer ke paise hold kar dete hai small amount instant received ho jata hai jaise hi aap big amount withdrawal karoge hold ho jayega.. i suggest don't use it switched to other platform..,2026-06-23
5,(No title),adbhut,2026-06-23
5,(No title),good job,2026-06-23
5,(No title),excellent,2026-06-23
5,(No title),very good,2026-06-23
5,(No title),good,2026-06-23
5,(No title),good,2026-06-23
1,(No title),please add candles and lot of Settings please and abstract same to same please but is interfaces very good easy to friendly used is very good but please update all settings and candles more candles more indicators please add it,2026-06-23
3,(No title),it's a good app,2026-06-23
1,(No title),order not delivered although the stock hitted the price.,2026-06-23
4,(No title),well good,2026-06-23
5,(No title),good,2026-06-23
1,(No title),waste,2026-06-23
4,(No title),"Dear Grow Team, Kindly Add Countdown Timer in Trading view chart....",2026-06-23
5,(No title),Easy To Invest.,2026-06-23
5,(No title),good 💯,2026-06-23
5,(No title),good,2026-06-23
5,(No title),excellent,2026-06-23
1,(No title),very poor aap,2026-06-23
1,(No title),"Very disappointing experience with Groww and Axis Mutual Fund. During a financial emergency, Groww asked me to contact Axis, while Axis asked me to go back to Groww. For over two weeks, both kept shifting responsibility instead of helping. The lack of accountability and customer support was frustrating. Based on my experience, I would not recommend using Groww for investments and would advise investors to be careful and don't invest in Axis Mutual Fund.",2026-06-23
1,(No title),"Groww was great, now many bugs visible as we trade. like: OFS(offer for sale )option is not there only!!, and many MF are missing, and many important financial ratios are missing, and most important 👉few GTT orders dont show also in ""all orders"" list. The Order list filter is full of bugs. have complained and showed them recording also, but no action.",2026-06-23
4,(No title),good,2026-06-23
5,(No title),I love it,2026-06-23
5,(No title),gud,2026-06-23
5,(No title),Good 👍,2026-06-23
1,(No title),VERY VERY 3RD CLASS APP. ALWAYS SHOW YOU THE RATE ON MARKET. YOU HAVE TO EDIT AND THEN SET. IT SEEMS THEY'RE FOR THE MARKET NOT FOR THE CUSTOMER. 3RD GRADE APP. if you write anything bad your view will not be post,2026-06-23
5,(No title),good,2026-06-23
5,(No title),bast app for trading,2026-06-23
5,(No title),excellent,2026-06-23
5,(No title),it's easy and simple to operate,2026-06-23
5,(No title),supr app,2026-06-23
5,(No title),many many difficulties in add Nominee,2026-06-23
5,(No title),watching and buying and selling stocks is easy in here... and no annual maintenance fee. easy for beginners,2026-06-23
5,(No title),excellent,2026-06-23
5,(No title),good investment site,2026-06-23
2,(No title),very rare in communicate with customer executives,2026-06-23
5,(No title),good,2026-06-23
5,(No title),excellent nice experience with grow app 👍👍,2026-06-23
5,(No title),THIS is best platfom for trading,2026-06-23
5,(No title),super,2026-06-23
1,(No title),"this app is waste of time because every time it's lag and stuck,I am using high end processing phone and tab but this application is fully worst working",2026-06-23
5,(No title),Nice,2026-06-23
5,(No title),nice work,2026-06-23
1,(No title),😊,2026-06-23
5,(No title),Always good 👍🏼,2026-06-23
5,(No title),great,2026-06-23
5,(No title),One of the Best Trading App,2026-06-23
1,(No title),I come to this app for less broakrege but the brokerage is higher than other platforms even more than standard bank platforms. they tell lie to deduct only 20rs but they deducts other hidden additional charges besides taxes. and its a buggy app. I am closing this account and will open in other platform.,2026-06-23
5,(No title),awesome apk,2026-06-23
1,(No title),taking too much higher Tex than his peer competitors,2026-06-23
5,(No title),good,2026-06-23
1,(No title),worst thing is that when there is high moments in graph then price will not upgrade with updated price order moment will stuck in some situations,2026-06-23
5,(No title),very good,2026-06-23
5,(No title),nice,2026-06-23
4,(No title),"I had been using Groww for over a year and was generally satisfied with the platform. However, after closing my demat account for personal reasons, I received a follow-up call regarding the closure. While I understand the need to collect feedback, I was disappointed by the tone of the conversation. The representative repeatedly questioned why I had closed the account and seemed overly insistent, even after I had explained my reasons. The interaction felt intrusive and uncomfortable.",2026-06-23
5,(No title),good,2026-06-23
5,(No title),good app,2026-06-23
3,(No title),You have to think to reduce the broker fees because when we have small profit or no profit we have to face a loss due to heavy broker fees i think you will listen this and reduce the broker fees only that thing in this app was not wright but other things are very good,2026-06-23
5,(No title),good,2026-06-23
5,(No title),ok,2026-06-23
5,(No title),nice,2026-06-23
1,(No title),very high price,2026-06-23
5,(No title),so beautiful app,2026-06-23
5,(No title),ok good,2026-06-23
4,(No title),nice,2026-06-23
5,(No title),good,2026-06-23
5,(No title),very good app for trading mutual funds,2026-06-23
5,(No title),good,2026-06-23
5,(No title),best trending ap,2026-06-23
3,(No title),best exp,2026-06-23
5,(No title),achhaa,2026-06-23
5,(No title),nice,2026-06-23
5,(No title),good,2026-06-23
5,(No title),professional,2026-06-23
5,(No title),good app,2026-06-23
4,(No title),overall best aap for beginners,2026-06-23
5,(No title),verry good 👍,2026-06-23
5,(No title),very fast,2026-06-23
4,(No title),So far it is a good experience. I had an issue with the banking details which was solved within a day by the customer service team. so great work! Still giving 4 stars because there is always room for improvement! 😊😉,2026-06-23
5,(No title),nice ❤ love you groww app,2026-06-23
5,(No title),good 👍,2026-06-23
5,(No title),very good 💯,2026-06-23
5,(No title),nice,2026-06-23
5,(No title),Best,2026-06-23
1,(No title),good 😊,2026-06-23
5,(No title),super,2026-06-23
5,(No title),చాలా బాగుంది🙂,2026-06-23
5,(No title),simple usage ❤,2026-06-23
5,(No title),good,2026-06-23
5,(No title),groww is very good app for trading and it use very easy and current price every stock,2026-06-23
5,(No title),good,2026-06-23
5,(No title),Good,2026-06-23
5,(No title),Allow up to 24 hours for the reward to arrive,2026-06-23
5,(No title),good,2026-06-23
5,(No title),I'm the Beginner So Learning and Growing in Grow App 😀,2026-06-23
5,(No title),good experience,2026-06-23
5,(No title),sab platform se best hai,2026-06-22
5,(No title),Been using it since 2019...Compared to other app groww is a very user-friendly,2026-06-22
4,(No title),good,2026-06-22
5,(No title),Good 👍,2026-06-22
3,(No title),Sumit Namdev Nice 👍,2026-06-22
5,(No title),good,2026-06-22
5,(No title),ek number I like this app so much,2026-06-22
5,(No title),Great 👍,2026-06-22
5,(No title),good,2026-06-22
5,(No title),nice application good working,2026-06-22
1,(No title),Bad,2026-06-22
5,(No title),good,2026-06-22
5,(No title),good,2026-06-22
5,(No title),good,2026-06-22
5,(No title),good,2026-06-22
5,(No title),good,2026-06-22
5,(No title),excellent,2026-06-22
5,(No title),so good,2026-06-22
5,(No title),better,2026-06-22
5,(No title),good app,2026-06-22
5,(No title),EXCELLENT,2026-06-22
5,(No title),good 😊 👍,2026-06-22
5,(No title),best,2026-06-22
5,(No title),good,2026-06-22
5,(No title),💯,2026-06-22
5,(No title),Good,2026-06-22
5,(No title),it is good platform,2026-06-22
5,(No title),grow thank you,2026-06-22
5,(No title),nice app....,2026-06-22
